food,parasite,exptime,rep,embup,embdw,penup,pendw
High,LATE_MET,late,18,0,3,0,0
High,LATE_MET,late,19,NA,NA,NA,NA
High,LATE_MET,late,20,2,2,1,0
High,LATE_MET,late,21,1,1,0,1
High,LATE_MET,late,22,4,2,0,0
High,LATE_MET,late,23,0,0,0,0
High,LATE_MET,late,24,NA,NA,NA,NA
High,LATE_MET,late,25,1,1,1,0
High,LATE_MET,late,26,0,2,0,0
High,LATE_MET,late,27,0,1,0,0
High,LATE_MET,late,28,0,2,0,0
High,LATE_MET,late,29,2,0,0,0
High,LATE_MET,late,30,2,1,0,0
Low,LATE_MET,late,1,5,1,2,0
Low,LATE_MET,late,2,4,3,1,3
Low,LATE_MET,late,3,11,7,4,1
Low,LATE_MET,late,4,NA,NA,NA,NA
Low,LATE_MET,late,5,7,1,2,1
Low,LATE_MET,late,6,3,1,0,0
Low,LATE_MET,late,7,2,0,2,0
Low,LATE_MET,late,8,NA,NA,NA,NA
Low,LATE_MET,late,9,NA,NA,NA,NA
Low,LATE_MET,late,10,2,0,0,0
Low,LATE_MET,late,11,NA,NA,NA,NA
Low,LATE_MET,late,12,0,3,0,0
Low,LATE_MET,late,13,NA,NA,NA,NA
Low,LATE_MET,late,14,1,3,0,1
Low,LATE_MET,late,15,1,1,0,0
Low,LATE_MET,late,16,6,3,2,0
Low,LATE_MET,late,17,NA,NA,NA,NA
Low,LATE_MET,late,18,NA,NA,NA,NA
Low,LATE_MET,late,19,1,2,4,0
Low,LATE_MET,late,20,9,3,2,4
Low,LATE_MET,late,21,5,2,0,0
Low,LATE_MET,late,22,2,2,0,0
Low,LATE_MET,late,23,NA,NA,NA,NA
Low,LATE_MET,late,24,4,1,1,0
Low,LATE_MET,late,25,5,0,1,0
Low,LATE_MET,late,26,2,0,1,1
Low,LATE_MET,late,27,2,3,1,0
Low,LATE_MET,late,28,4,2,0,0
Low,LATE_MET,late,29,0,3,1,1
Low,LATE_MET,late,30,4,2,1,0
High,MG_LATE_MET,late,1,0,1,0,3
High,MG_LATE_MET,late,2,0,2,0,0
High,MG_LATE_MET,late,3,0,4,0,2
High,MG_LATE_MET,late,4,2,5,0,0
High,MG_LATE_MET,late,5,0,2,1,0
High,MG_LATE_MET,late,6,1,2,0,0
High,MG_LATE_MET,late,7,2,0,0,0
High,MG_LATE_MET,late,8,1,0,0,2
High,MG_LATE_MET,late,9,2,3,0,1
High,MG_LATE_MET,late,10,0,0,0,0
High,MG_LATE_MET,late,11,0,1,0,0
High,MG_LATE_MET,late,12,0,0,0,0
High,MG_LATE_MET,late,13,1,0,0,0
High,MG_LATE_MET,late,14,0,4,0,0
High,MG_LATE_MET,late,15,NA,NA,NA,NA
High,MG_LATE_MET,late,16,0,1,0,0
High,MG_LATE_MET,late,17,0,1,0,0
High,MG_LATE_MET,late,18,4,3,1,0
High,MG_LATE_MET,late,19,1,1,0,1
High,MG_LATE_MET,late,20,0,3,1,0
High,MG_LATE_MET,late,21,1,2,0,1
High,MG_LATE_MET,late,22,0,0,0,1
High,MG_LATE_MET,late,23,1,3,0,2
High,MG_LATE_MET,late,24,1,3,0,1
High,MG_LATE_MET,late,25,0,1,0,1
High,MG_LATE_MET,late,26,1,4,6,2
High,MG_LATE_MET,late,27,NA,NA,NA,NA
High,MG_LATE_MET,late,28,NA,NA,NA,NA
High,MG_LATE_MET,late,29,0,3,0,0
High,MG_LATE_MET,late,30,0,0,1,0
Low,MG_LATE_MET,late,1,0,2,0,2
Low,MG_LATE_MET,late,2,2,1,0,0
Low,MG_LATE_MET,late,3,NA,NA,NA,NA
Low,MG_LATE_MET,late,4,NA,NA,NA,NA
Low,MG_LATE_MET,late,5,NA,NA,NA,NA
Low,MG_LATE_MET,late,6,NA,NA,NA,NA
Low,MG_LATE_MET,late,7,NA,NA,NA,NA
Low,MG_LATE_MET,late,8,NA,NA,NA,NA
Low,MG_LATE_MET,late,9,NA,NA,NA,NA
Low,MG_LATE_MET,late,10,NA,NA,NA,NA
Low,MG_LATE_MET,late,11,3,6,0,0
Low,MG_LATE_MET,late,12,NA,NA,NA,NA
Low,MG_LATE_MET,late,13,0,1,0,0
Low,MG_LATE_MET,late,14,1,3,1,0
Low,MG_LATE_MET,late,15,5,3,1,0
Low,MG_LATE_MET,late,16,NA,NA,NA,NA
Low,MG_LATE_MET,late,17,NA,NA,NA,NA
Low,MG_LATE_MET,late,18,1,1,1,3
Low,MG_LATE_MET,late,19,NA,NA,NA,NA
Low,MG_LATE_MET,late,20,NA,NA,NA,NA
Low,MG_LATE_MET,late,21,NA,NA,NA,NA
Low,MG_LATE_MET,late,22,NA,NA,NA,NA
Low,MG_LATE_MET,late,23,NA,NA,NA,NA
Low,MG_LATE_MET,late,24,2,2,0,0
Low,MG_LATE_MET,late,25,0,0,0,0
Low,MG_LATE_MET,late,26,1,2,0,0
Low,MG_LATE_MET,late,27,NA,NA,NA,NA
Low,MG_LATE_MET,late,28,1,2,0,5
Low,MG_LATE_MET,late,29,0,1,0,1
Low,MG_LATE_MET,late,30,1,3,1,1
